,timestamps,pynvml:0,pynvml:1,pynvml:2,pynvml:3
0,1733992315.2247465,57.456,59.454,60.493,58.237
1,1733992315.3235645,57.456,59.394,60.493,58.237
2,1733992315.325159,57.456,59.394,60.493,58.237
3,1733992315.4236503,57.456,59.454,60.493,58.237
4,1733992315.4252293,57.456,59.454,60.493,58.237
5,1733992315.523721,57.456,59.454,60.493,58.237
6,1733992315.525301,57.456,59.454,60.493,58.237
7,1733992315.623803,57.456,59.454,60.493,58.237
8,1733992315.62537,57.456,59.454,60.493,58.237
9,1733992315.7238712,57.456,59.454,60.493,58.237
10,1733992315.7254486,57.456,59.454,60.493,58.237
11,1733992315.8239763,57.456,59.454,60.493,58.237
12,1733992315.825516,57.456,59.454,60.493,58.237
13,1733992315.924079,57.456,59.394,60.493,58.237
14,1733992315.9255984,57.456,59.394,60.493,58.237
15,1733992316.024189,57.456,59.454,60.493,58.237
16,1733992316.025708,57.456,59.454,60.493,58.237
17,1733992316.1243508,57.456,59.454,60.493,58.237
18,1733992316.1257863,57.456,59.454,60.493,58.237
19,1733992316.2244709,57.456,59.454,60.493,58.237
20,1733992316.2258694,57.456,59.454,60.493,58.237
21,1733992316.3255565,57.456,59.454,60.493,58.237
22,1733992316.326062,57.456,59.454,60.493,58.237
23,1733992316.4271083,57.456,59.454,60.493,58.237
24,1733992316.4326034,57.456,59.454,60.493,58.237
25,1733992316.5289361,57.456,59.394,60.493,58.237
26,1733992316.533029,57.456,59.394,60.493,58.237
27,1733992316.629013,57.456,59.454,60.493,58.237
28,1733992316.6330934,57.456,59.454,60.493,58.237
29,1733992316.7290652,57.456,59.454,60.493,58.237
30,1733992316.7331579,57.456,59.454,60.493,58.237
31,1733992316.8291295,57.456,59.394,60.493,58.237
32,1733992316.8332486,57.456,59.394,60.493,58.237
33,1733992316.9292455,57.456,62.11,60.493,58.237
34,1733992316.9333763,57.456,62.11,60.493,58.237
35,1733992317.0293603,57.456,62.933,60.493,58.237
36,1733992317.033494,57.456,62.933,60.493,58.237
37,1733992317.1294694,57.456,62.933,60.493,58.237
38,1733992317.133611,57.456,62.933,60.493,58.237
39,1733992317.229575,57.456,62.997,60.493,58.237
40,1733992317.2337394,57.456,62.997,60.493,58.237
41,1733992317.329864,57.456,62.933,60.493,58.237
42,1733992317.3338437,57.456,62.933,60.493,58.237
43,1733992317.4303365,57.456,62.933,60.555,58.237
44,1733992317.4342475,57.456,62.933,60.555,58.237
45,1733992317.5304096,57.456,62.933,60.493,58.237
46,1733992317.5343149,57.456,62.933,60.493,58.237
47,1733992317.6308513,57.456,62.933,60.555,58.237
48,1733992317.6343822,57.456,62.933,60.555,58.237
49,1733992317.7309244,57.456,62.933,60.555,58.237
50,1733992317.7344494,57.456,62.933,60.555,58.237
51,1733992317.8309991,57.456,62.933,60.493,58.237
52,1733992317.8350682,57.456,62.933,60.493,58.237
53,1733992317.931073,57.456,62.933,60.555,58.237
54,1733992317.935136,57.456,62.933,60.555,58.237
55,1733992318.031155,57.456,62.933,60.555,58.237
56,1733992318.0352066,57.456,62.933,60.555,58.237
57,1733992318.131256,57.456,62.933,60.493,58.237
58,1733992318.1352837,57.456,62.933,60.493,58.237
59,1733992318.231391,57.456,62.933,60.555,58.237
60,1733992318.235372,57.456,62.933,60.555,58.237
61,1733992318.3314998,57.456,62.933,60.493,58.237
62,1733992318.3354716,57.456,62.933,60.493,58.237
63,1733992318.431605,57.456,62.933,60.493,58.237
64,1733992318.4355633,57.456,62.933,60.493,58.237
65,1733992318.5316293,57.456,62.933,60.493,58.237
66,1733992318.5356252,57.456,62.933,60.493,58.237
67,1733992318.631699,57.456,62.933,60.493,58.296
68,1733992318.6356933,57.456,62.933,60.493,58.296
69,1733992318.7317677,57.456,62.933,60.493,58.237
70,1733992318.7357605,57.456,62.933,60.493,58.237
71,1733992318.8318343,57.456,60.28,60.493,58.237
72,1733992318.8357787,57.456,60.28,60.493,58.237
73,1733992318.931902,57.456,59.394,60.493,58.237
74,1733992318.935844,57.456,59.394,60.493,58.237
75,1733992319.031937,57.456,59.394,60.493,58.237
76,1733992319.0359125,57.456,59.394,60.493,58.237
77,1733992319.132004,57.456,59.394,60.493,58.237
78,1733992319.1359313,57.456,59.394,60.493,58.237
79,1733992319.232071,57.456,59.394,60.493,58.237
80,1733992319.235996,57.456,59.394,60.493,58.237
81,1733992319.332088,57.456,59.394,60.493,58.237
82,1733992319.3360624,57.456,59.394,60.493,58.237
83,1733992319.4321542,57.456,59.394,60.493,58.237
84,1733992319.4360855,57.456,59.394,60.493,58.237
85,1733992319.5322218,57.456,59.394,60.493,58.237
86,1733992319.53615,57.456,59.394,60.493,58.237
87,1733992319.632291,57.456,59.394,60.493,58.237
88,1733992319.6362162,57.456,59.394,60.493,58.237
89,1733992319.7323163,57.456,59.394,60.493,58.237
90,1733992319.7362814,57.456,59.394,60.493,58.237
91,1733992319.8323822,57.456,59.394,60.493,58.237
92,1733992319.8363159,57.456,59.394,60.493,58.237
93,1733992319.9324515,57.456,59.394,60.493,58.237
94,1733992319.936382,57.456,59.394,60.493,58.237
95,1733992320.0324705,57.456,59.394,60.493,58.237
96,1733992320.0364473,57.456,59.394,60.493,58.237
97,1733992320.1325374,57.456,59.394,60.493,58.296
98,1733992320.1364717,57.456,59.394,60.493,58.296
99,1733992320.2326055,57.456,59.394,60.493,58.237
100,1733992320.2365375,57.456,59.394,60.493,58.237
101,1733992320.3326273,57.456,59.394,60.493,58.237
102,1733992320.3366032,57.456,59.394,60.493,58.237
103,1733992320.432699,57.456,59.394,60.493,58.237
104,1733992320.4366264,57.456,59.394,60.493,58.237
105,1733992320.5327666,57.456,59.394,60.493,58.237
106,1733992320.5366957,57.456,59.394,60.493,58.237
107,1733992320.6328335,57.456,59.394,60.493,58.237
108,1733992320.6367633,57.456,59.394,60.493,58.237
109,1733992320.7329023,57.456,59.394,60.493,58.237
110,1733992320.7368355,57.456,59.394,60.493,58.237
111,1733992320.832934,57.456,59.394,60.493,58.237
112,1733992320.836901,57.456,59.394,60.493,58.296
113,1733992320.9329996,57.456,59.394,60.493,58.237
114,1733992320.9369316,57.456,59.394,60.493,58.237
115,1733992321.0330665,57.456,59.394,60.493,58.237
116,1733992321.0369973,57.456,59.394,60.493,58.237
117,1733992321.1330886,57.456,59.394,60.493,58.237
118,1733992321.1370625,57.456,59.394,60.493,58.237
119,1733992321.2331576,57.456,59.394,60.493,58.237
120,1733992321.2370856,57.456,59.394,60.493,58.237
121,1733992321.3332248,57.456,59.394,60.493,58.237
122,1733992321.3371508,57.456,59.394,60.493,58.237
123,1733992321.4332418,57.456,59.394,60.493,58.237
124,1733992321.4372163,57.456,59.394,60.493,58.237
125,1733992321.5333083,57.456,59.394,60.493,58.237
126,1733992321.53724,57.456,59.394,60.493,58.237
127,1733992321.6333764,57.456,59.394,60.493,58.237
128,1733992321.637307,57.456,59.394,60.493,58.237
129,1733992321.733396,57.456,59.394,60.493,58.237
130,1733992321.7373722,57.456,59.394,60.493,58.237
131,1733992321.833463,57.456,59.394,60.493,58.237
132,1733992321.837394,57.456,59.394,60.493,58.237
133,1733992321.9335296,57.456,59.394,60.555,58.237
134,1733992321.9374597,57.456,59.394,60.555,58.237
135,1733992322.0335503,57.456,59.394,60.493,58.237
136,1733992322.037535,57.456,59.394,60.493,58.237
137,1733992322.1336207,57.456,59.394,60.493,58.237
138,1733992322.1376016,57.456,59.394,60.493,58.237
139,1733992322.2336917,57.456,59.394,60.493,58.237
140,1733992322.2376676,57.456,59.394,60.493,58.237
141,1733992322.3337595,57.456,59.394,60.493,58.237
142,1733992322.3376982,57.456,59.394,60.493,58.237
143,1733992322.433827,57.456,59.394,60.493,58.237
144,1733992322.437764,57.456,59.394,60.493,58.237
145,1733992322.5338542,57.456,59.394,60.493,58.237
146,1733992322.53783,57.456,59.394,60.493,58.237
147,1733992322.6339204,57.456,59.394,60.493,58.237
148,1733992322.6378553,57.456,59.394,60.493,58.237
149,1733992322.7339878,57.456,59.394,60.493,58.237
150,1733992322.737921,57.456,59.394,60.493,58.237
151,1733992322.834008,57.456,59.394,60.555,58.237
152,1733992322.8379865,57.456,59.394,60.555,58.237
153,1733992322.9340742,57.456,59.394,60.493,58.237
154,1733992322.9380062,57.456,59.394,60.493,58.237
155,1733992323.034142,57.456,59.394,60.493,58.237
156,1733992323.0380726,57.456,59.394,60.493,58.237
157,1733992323.1341622,57.456,59.394,60.493,58.237
158,1733992323.1381378,57.456,59.394,60.493,58.237
159,1733992323.2342296,57.456,59.394,60.493,58.237
160,1733992323.2381608,57.456,59.394,60.493,58.237
161,1733992323.3342957,57.456,59.394,60.493,58.237
162,1733992323.338233,57.456,59.394,60.493,58.237
163,1733992323.4343188,57.456,59.394,60.555,58.237
164,1733992323.438299,57.456,59.394,60.555,58.237
165,1733992323.5343845,57.456,59.394,60.493,58.237
166,1733992323.5383153,57.456,59.394,60.493,58.237
167,1733992323.6344516,57.456,59.394,60.493,58.237
168,1733992323.6383812,57.456,59.394,60.493,58.237
169,1733992323.7344701,57.456,59.394,60.555,58.237
170,1733992323.738447,57.456,59.394,60.555,58.237
171,1733992323.8345356,57.456,59.394,60.493,58.237
172,1733992323.8384702,57.456,59.394,60.493,58.237
173,1733992323.9346027,57.456,59.394,60.493,58.237
174,1733992323.938536,57.456,59.394,60.493,58.237
175,1733992324.0346248,57.456,59.394,60.555,58.237
176,1733992324.0386014,57.456,59.394,60.555,58.237
177,1733992324.1346943,57.456,59.394,60.493,58.237
178,1733992324.1386228,57.456,59.394,60.493,58.237
179,1733992324.2347622,57.456,59.394,60.493,58.237
180,1733992324.2386925,57.456,59.394,60.493,58.237
181,1733992324.3347785,57.456,59.394,60.493,58.237
182,1733992324.3387585,57.456,59.394,60.493,58.237
183,1733992324.4348452,57.456,59.394,60.493,58.237
184,1733992324.4387774,57.456,59.394,60.493,58.237
185,1733992324.5349114,57.456,59.394,60.493,58.237
186,1733992324.538843,57.456,59.394,60.493,58.237
187,1733992324.6349397,57.456,59.394,60.493,58.237
188,1733992324.6389089,57.456,59.394,60.493,58.237
189,1733992324.7350059,57.456,59.394,60.493,58.237
190,1733992324.7389333,57.456,59.394,60.493,58.237
191,1733992324.8350732,57.456,59.394,60.493,58.237
192,1733992324.838999,57.456,59.394,60.493,58.237
193,1733992324.9350896,57.456,59.394,60.555,58.237
194,1733992324.9390645,57.456,59.394,60.555,58.237
195,1733992325.035156,57.456,59.394,60.493,58.237
196,1733992325.0390894,57.456,59.394,60.493,58.237
197,1733992325.1352234,57.456,59.394,60.493,58.237
