,timestamps,pynvml:0,pynvml:1,pynvml:2,pynvml:3
0,1733992312.4265907,62.869,57.456,59.668,59.394
1,1733992312.5251198,62.869,57.456,59.943,59.668
2,1733992312.5266664,62.869,57.456,59.943,59.668
3,1733992312.6273963,62.869,57.456,59.668,59.668
4,1733992312.6276903,62.869,57.456,59.668,59.668
5,1733992312.7275305,62.869,57.456,59.943,59.668
6,1733992312.7278256,62.869,57.456,59.943,59.668
7,1733992312.8276098,62.869,57.456,59.943,59.668
8,1733992312.8278947,62.869,57.456,59.943,59.668
9,1733992312.9277134,62.869,57.456,59.943,59.668
10,1733992312.9279718,62.869,57.456,59.943,59.668
11,1733992313.0278172,62.869,57.456,59.668,59.668
12,1733992313.028049,62.869,57.456,59.668,59.668
13,1733992313.1291244,62.869,57.456,59.943,59.668
14,1733992313.129199,62.869,57.456,59.943,59.668
15,1733992313.229256,62.869,57.456,59.668,59.668
16,1733992313.2293358,62.869,57.456,59.668,59.668
17,1733992313.3293793,62.869,57.456,59.668,59.668
18,1733992313.3294518,62.869,57.456,59.668,59.668
19,1733992313.4304361,62.869,57.456,59.668,59.668
20,1733992313.4311073,62.869,57.456,59.668,59.668
21,1733992313.5336115,62.869,57.456,59.943,59.668
22,1733992313.5338898,62.869,57.456,59.943,59.668
23,1733992313.6336882,62.869,57.456,59.943,59.668
24,1733992313.6339643,62.869,57.456,59.943,59.668
25,1733992313.7337432,62.869,57.456,59.943,59.668
26,1733992313.7340295,62.869,57.456,59.943,59.668
27,1733992313.8337986,62.869,57.456,59.668,59.668
28,1733992313.8341045,62.869,57.456,59.668,59.668
29,1733992313.9339025,62.869,57.456,59.943,59.668
30,1733992313.9341817,62.869,57.456,59.943,59.668
31,1733992314.0340068,62.869,57.456,59.943,59.668
32,1733992314.0342824,62.869,57.456,59.943,59.668
33,1733992314.1341202,62.869,57.456,59.668,59.668
34,1733992314.1343603,62.869,57.456,59.668,59.668
35,1733992314.234224,62.869,57.456,59.668,59.668
36,1733992314.2344377,62.869,57.456,59.668,59.668
37,1733992314.3343406,62.869,57.456,59.943,59.668
38,1733992314.3345149,62.869,57.456,59.943,59.668
39,1733992314.4344494,62.869,57.456,59.668,59.668
40,1733992314.434589,62.869,57.456,59.668,59.668
41,1733992314.5345268,62.869,57.456,59.943,59.668
42,1733992314.534653,62.869,57.456,59.943,59.668
43,1733992314.6345997,62.869,57.456,59.943,59.668
44,1733992314.6347158,62.869,57.456,59.943,59.668
45,1733992314.7346728,62.869,57.456,59.943,59.668
46,1733992314.734779,62.869,57.456,59.943,59.668
47,1733992314.8368914,62.869,57.456,59.943,59.668
48,1733992314.8369572,62.869,57.456,59.943,59.668
49,1733992314.9369633,62.869,57.456,59.943,59.668
50,1733992314.9370263,62.869,57.456,59.943,59.668
51,1733992315.037035,62.869,57.456,59.668,59.668
52,1733992315.037105,62.869,57.456,59.668,59.668
53,1733992315.1371222,62.869,57.456,59.943,59.729
54,1733992315.1371887,62.869,57.456,59.943,59.729
55,1733992315.2372203,62.869,57.456,59.943,59.729
56,1733992315.2372868,62.869,57.456,59.943,59.729
57,1733992315.3373547,62.869,57.514,59.943,59.668
58,1733992315.3374274,62.869,57.514,59.943,59.668
59,1733992315.437442,62.869,57.456,59.943,59.668
60,1733992315.4375167,62.869,57.456,59.943,59.668
61,1733992315.5374997,62.869,57.456,59.943,59.668
62,1733992315.5375812,62.869,57.456,59.943,59.668
63,1733992315.6375694,62.869,57.456,59.668,59.668
64,1733992315.6376576,62.869,57.456,59.668,59.668
65,1733992315.7376375,62.869,57.456,59.943,59.668
66,1733992315.7377229,62.869,57.456,59.943,59.668
67,1733992315.8377063,62.869,57.456,59.943,59.668
68,1733992315.8377855,62.869,57.456,59.943,59.668
69,1733992315.9377742,62.869,57.456,59.943,59.668
70,1733992315.93785,62.869,57.456,59.943,59.668
71,1733992316.0378063,62.869,57.456,59.943,59.668
72,1733992316.037914,62.869,57.456,59.943,59.668
73,1733992316.1378746,62.869,57.456,59.943,59.668
74,1733992316.137956,62.869,57.456,59.943,59.668
75,1733992316.2379427,62.869,57.456,59.943,59.668
76,1733992316.2380219,62.869,57.456,59.943,59.668
77,1733992316.3379602,62.869,57.456,59.943,59.668
78,1733992316.3380861,62.869,57.456,59.943,59.668
79,1733992316.4380267,62.869,57.456,59.943,59.668
80,1733992316.4381096,62.869,57.456,59.943,59.668
81,1733992316.5380943,62.869,57.456,59.668,59.668
82,1733992316.5381744,62.869,57.456,59.668,59.668
83,1733992316.6381145,62.869,57.456,59.943,59.668
84,1733992316.638239,62.869,57.456,59.943,59.668
85,1733992316.738182,62.869,57.456,59.943,59.668
86,1733992316.7382643,62.869,57.456,59.943,59.668
87,1733992316.8382494,62.869,57.456,59.943,59.729
88,1733992316.838335,62.869,57.456,59.943,59.729
89,1733992316.938269,62.869,57.456,59.943,59.668
90,1733992316.9383998,62.869,57.456,59.943,59.668
91,1733992317.0383403,62.869,57.456,59.943,59.668
92,1733992317.0384197,62.869,57.456,59.943,59.668
93,1733992317.1384087,62.869,57.456,59.943,59.729
94,1733992317.138484,62.869,57.456,59.943,59.729
95,1733992317.238476,62.869,57.456,59.943,59.668
96,1733992317.238547,62.869,57.456,59.943,59.668
97,1733992317.3385434,62.869,57.456,59.943,59.668
98,1733992317.3386114,62.869,57.456,59.943,59.668
99,1733992317.438577,62.869,57.456,59.729,59.668
100,1733992317.4386752,62.869,57.456,59.729,59.668
101,1733992317.5386443,62.805,57.456,59.943,59.729
102,1733992317.538726,62.805,57.456,59.943,59.729
103,1733992317.638714,62.805,57.456,59.943,59.668
104,1733992317.6387908,62.805,57.456,59.943,59.668
105,1733992317.7387328,62.869,57.456,59.729,59.729
106,1733992317.7388558,62.869,57.456,59.729,59.729
107,1733992317.8388002,62.869,57.456,59.943,59.729
108,1733992317.8388822,62.869,57.456,59.943,59.729
109,1733992317.9388683,62.805,57.456,59.943,59.668
110,1733992317.9389513,62.805,57.456,59.943,59.668
111,1733992318.038887,62.869,57.456,59.729,59.729
112,1733992318.0390158,62.869,57.456,59.729,59.729
113,1733992318.1389542,62.805,57.456,59.943,59.729
114,1733992318.1390355,62.805,57.456,59.943,59.729
115,1733992318.2390244,62.805,57.456,60.004,59.668
116,1733992318.2391,62.805,57.456,60.004,59.668
117,1733992318.3391173,62.869,57.456,60.004,59.729
118,1733992318.3391874,62.869,57.456,60.004,59.729
119,1733992318.439247,62.869,57.456,59.943,59.729
120,1733992318.4393165,62.869,57.456,59.943,59.729
121,1733992318.539271,62.869,57.456,59.943,59.668
122,1733992318.5393422,62.869,57.456,59.943,59.668
123,1733992318.639344,62.805,57.456,59.943,59.729
124,1733992318.6394074,62.805,57.456,59.943,59.729
125,1733992318.7394125,62.805,57.456,59.943,59.729
126,1733992318.7394772,62.805,57.456,59.943,59.729
