Column,Peak Index,Left,Right,Mean,Width,Choice,PTM
N_12345,127,124,135,4100.666666666667,11,False,False
N_12345,162,157,169,4146.846153846154,12,False,False
N_12345,191,175,209,4218.742857142857,33,False,False
N_12345,268,253,274,4274.863636363636,20,False,False
N_12345,0,260,275,4512.155,16,False,True
N_12345,1,259,275,4495.985,17,False,True
N_147,0,44,58,7250.6885,15,False,True
N_147,1,26,39,5327.7564999999995,14,False,True
N_147,2,24,38,5195.1404999999995,15,False,True
N_147,3,16,31,4730.9845000000005,16,False,True
N_147,4,14,28,4565.2145,15,False,True
N_147,5,9,20,4150.789500000001,12,False,True
N_15173,14,3,17,4046.133333333333,14,False,False
N_15173,77,65,79,4025.4666666666667,14,False,False
N_15173,99,92,102,4134.0,10,False,False
N_15173,156,144,161,4233.722222222223,16,False,False
N_15173,211,202,216,4017.6,14,False,False
N_15173,355,348,359,4221.5,11,False,False
N_15173,443,430,445,4090.1875,14,False,False
N_15173,0,466,480,4290.847,15,False,True
N_15173,1,468,484,4355.8150000000005,17,False,True
N_15173,2,469,485,4388.299,17,False,True
N_15173,3,488,511,5947.531,24,False,True
N_15173,4,498,523,6386.065,26,False,True
N_15173,5,489,519,6061.225,31,False,True
N_1660,79,72,91,5756.05,19,False,False
N_1660,0,115,140,5852.342000000001,26,False,True
N_1660,1,116,141,5940.35,26,False,True
N_19081,135,131,141,4290.363636363636,10,False,False
N_19081,211,199,212,4045.0714285714284,12,False,False
N_19081,268,248,297,4859.56,49,False,False
N_19081,383,366,404,4205.25641025641,37,False,False
N_19081,482,477,491,4116.933333333333,14,False,False
N_19081,551,521,566,4341.695652173913,44,False,False
N_19081,618,602,625,4680.583333333333,23,False,False
N_19081,639,631,642,3970.0833333333335,11,False,False
N_19081,0,731,760,4883.5419999999995,30,False,True
N_19081,1,733,762,5078.906,30,False,True
N_19081,2,748,763,5214.158,16,False,True
N_19081,3,755,773,5980.586,19,False,True
N_19081,4,746,763,5154.046,18,False,True
N_20781,24,16,51,4240.638888888889,35,False,False
N_20781,94,90,102,4304.0,12,False,False
N_20781,222,217,230,3988.8571428571427,12,False,False
N_20781,313,296,319,5360.166666666667,22,False,False
N_20781,0,327,341,5455.5665,15,False,True
N_20781,1,334,349,6139.1345,16,False,True
N_20781,2,332,348,5968.2425,17,False,True
N_20781,3,330,345,5740.3865,16,False,True
N_20781,4,328,343,5526.7715,16,False,True
N_22608,13,6,20,4213.266666666666,13,False,False
