,timestamps,pynvml:0,pynvml:1,pynvml:2,pynvml:3
0,1733991941.3914058,63.079,57.784,59.943,59.668
1,1733991941.4888945,63.079,57.456,59.943,59.943
2,1733991941.4914753,63.079,57.456,59.943,59.943
3,1733991941.5889752,63.079,57.725,59.943,59.943
4,1733991941.5915515,63.079,57.725,59.943,59.943
5,1733991941.6914332,63.079,57.784,59.943,59.943
6,1733991941.691625,63.079,57.784,59.943,59.943
7,1733991941.7915146,63.079,57.784,59.943,59.943
8,1733991941.791824,63.079,57.784,59.943,59.943
9,1733991941.8915906,63.079,57.725,60.28,59.943
10,1733991941.8918889,63.079,57.725,60.28,59.943
11,1733991941.991654,63.079,57.784,60.28,59.943
12,1733991941.9919522,63.079,57.784,60.28,59.943
13,1733991942.0917559,63.079,57.784,59.943,59.943
14,1733991942.0920289,63.079,57.784,59.943,59.943
15,1733991942.1918585,63.079,57.784,59.943,59.943
16,1733991942.192108,63.079,57.784,59.943,59.943
17,1733991942.2922025,63.079,57.784,59.943,59.943
18,1733991942.2923226,63.079,57.784,59.943,59.943
19,1733991942.3923714,63.079,57.784,59.943,59.943
20,1733991942.3924477,63.079,57.784,59.943,59.943
21,1733991942.4924943,63.079,57.784,60.28,59.668
22,1733991942.4925675,63.079,57.784,60.28,59.668
23,1733991942.5956068,63.079,57.784,60.28,59.943
24,1733991942.5962884,63.079,57.784,60.28,59.943
25,1733991942.6956868,63.079,57.784,59.943,59.943
26,1733991942.696352,63.079,57.784,59.943,59.943
27,1733991942.7957625,63.143,57.784,59.943,59.668
28,1733991942.796417,63.143,57.784,59.943,59.668
29,1733991942.8958147,63.079,57.784,60.28,59.943
30,1733991942.896489,63.079,57.784,60.28,59.943
31,1733991942.9958684,63.079,57.784,59.943,59.943
32,1733991942.9965627,63.079,57.784,59.943,59.943
33,1733991943.09598,63.079,57.784,59.943,59.668
34,1733991943.0966487,63.079,57.784,59.943,59.668
35,1733991943.1960835,63.079,57.784,60.28,59.943
36,1733991943.196728,63.079,57.784,60.28,59.943
37,1733991943.2961867,63.079,57.784,59.943,59.943
38,1733991943.2968075,63.079,57.784,59.943,59.943
39,1733991943.3962986,63.079,57.784,59.943,59.943
40,1733991943.3968997,63.079,57.784,59.943,59.943
41,1733991943.4964142,63.079,57.784,59.943,59.943
42,1733991943.4969797,63.079,57.784,59.943,59.943
43,1733991943.5965335,63.408,57.784,59.943,59.943
44,1733991943.5971234,63.408,57.784,59.943,59.943
45,1733991943.6966078,63.079,57.784,59.943,59.668
46,1733991943.6971872,63.079,57.784,59.943,59.668
47,1733991943.797478,63.143,57.784,59.943,59.943
48,1733991943.7975447,63.143,57.784,59.943,59.943
49,1733991943.8975508,63.079,57.784,59.943,59.668
50,1733991943.8976142,63.079,57.784,59.943,59.668
51,1733991943.997623,63.143,57.784,59.943,59.943
52,1733991943.9976954,63.143,57.784,59.943,59.943
53,1733991944.0976965,63.079,57.784,60.28,59.943
54,1733991944.0977595,63.079,57.784,60.28,59.943
55,1733991944.1977713,63.079,57.784,59.943,59.943
56,1733991944.1988125,63.079,57.784,59.943,59.943
57,1733991944.2978895,63.143,57.784,59.943,59.729
58,1733991944.2988875,63.143,57.784,59.943,59.729
59,1733991944.3979754,63.143,57.784,60.28,59.943
60,1733991944.3989668,63.143,57.784,60.28,59.943
61,1733991944.498949,63.079,57.784,60.28,59.943
62,1733991944.4990396,63.079,57.784,60.28,59.943
63,1733991944.5990825,63.079,57.784,59.943,59.943
64,1733991944.5991714,63.079,57.784,59.943,59.943
65,1733991944.6991782,63.143,57.784,59.943,59.943
66,1733991944.6992502,63.143,57.784,59.943,59.943
67,1733991944.7992516,63.079,57.784,59.943,59.943
68,1733991944.799315,63.079,57.784,59.943,59.943
69,1733991944.899319,63.079,57.784,59.943,60.004
70,1733991944.8993392,63.079,57.784,59.943,60.004
71,1733991944.9993436,63.143,57.784,59.943,59.943
72,1733991944.9994092,63.143,57.784,59.943,59.943
73,1733991945.0994108,63.079,57.784,59.943,59.668
74,1733991945.099474,63.079,57.784,59.943,59.668
75,1733991945.1994796,63.143,57.784,60.28,59.668
76,1733991945.1995463,63.143,57.784,60.28,59.668
77,1733991945.2994974,63.143,57.784,59.943,60.004
78,1733991945.2996109,63.143,57.784,59.943,60.004
79,1733991945.3995645,63.079,57.784,59.943,59.943
80,1733991945.3996475,63.079,57.784,59.943,59.943
81,1733991945.499632,63.143,57.784,59.943,59.943
82,1733991945.4997118,63.143,57.784,59.943,59.943
83,1733991945.599651,63.143,57.784,59.943,59.668
84,1733991945.5997767,63.143,57.784,59.943,59.668
85,1733991945.699719,63.079,57.784,60.28,59.943
86,1733991945.6998029,63.079,57.784,60.28,59.943
87,1733991945.7997873,63.143,57.784,59.943,59.943
88,1733991945.7998672,63.143,57.784,59.943,59.943
89,1733991945.8998046,63.143,57.784,60.28,60.004
90,1733991945.8999317,63.143,57.784,60.28,60.004
91,1733991945.9998713,63.079,57.784,60.28,59.943
92,1733991945.9999568,63.079,57.784,60.28,59.943
93,1733991946.0999386,63.143,57.784,59.943,59.943
94,1733991946.100021,63.143,57.784,59.943,59.943
95,1733991946.199959,63.143,57.784,60.28,60.004
96,1733991946.2000854,63.143,57.784,60.28,60.004
97,1733991946.300025,63.143,57.784,60.28,59.943
98,1733991946.3001106,63.143,57.784,60.28,59.943
99,1733991946.4000916,63.143,57.784,59.943,59.668
100,1733991946.4001734,63.143,57.784,59.943,59.668
101,1733991946.5001597,63.143,57.784,59.943,59.729
102,1733991946.5002382,63.143,57.784,59.943,59.729
103,1733991946.6001942,63.079,57.784,59.943,59.943
104,1733991946.6003022,63.079,57.784,59.943,59.943
105,1733991946.7002604,63.079,57.784,59.943,59.943
106,1733991946.7003381,63.079,57.784,59.943,59.943
107,1733991946.8003328,63.143,57.784,59.943,59.943
108,1733991946.800404,63.143,57.784,59.943,59.943
109,1733991946.9003997,63.079,57.784,59.943,59.943
110,1733991946.900473,63.079,57.784,59.943,59.943
111,1733991947.0004673,63.143,57.784,60.28,59.943
112,1733991947.0005374,63.143,57.784,60.28,59.943
113,1733991947.1004965,63.143,57.784,60.28,59.943
114,1733991947.1006014,63.143,57.784,60.28,59.943
115,1733991947.2005622,63.079,57.784,59.943,59.943
116,1733991947.2006469,63.079,57.784,59.943,59.943
117,1733991947.30063,63.079,57.784,59.943,59.943
118,1733991947.3007112,63.079,57.784,59.943,59.943
119,1733991947.4006515,63.079,57.784,60.28,59.943
120,1733991947.400776,63.079,57.784,60.28,59.943
