,timestamps,pynvml:0,pynvml:1,pynvml:2,pynvml:3
0,1733991939.8679445,62.805,59.729,63.337,59.638
1,1733991939.9647205,62.805,59.729,63.337,59.638
2,1733991939.968016,62.805,59.729,63.337,59.638
3,1733991940.0670302,62.741,59.729,63.337,59.699
4,1733991940.0680928,62.741,59.729,63.337,59.699
5,1733991940.1671166,62.741,59.729,63.337,59.638
6,1733991940.1681705,62.741,59.729,63.337,59.638
7,1733991940.2684543,62.805,59.729,63.667,59.638
8,1733991940.2685282,62.805,59.729,63.667,59.638
9,1733991940.3685305,62.805,59.729,63.337,59.973
10,1733991940.3685968,62.805,59.729,63.337,59.973
11,1733991940.4685843,62.741,59.729,63.667,59.638
12,1733991940.4686587,62.741,59.729,63.667,59.638
13,1733991940.5686452,62.805,59.729,63.337,60.035000000000004
14,1733991940.5687299,62.805,59.729,63.337,60.035000000000004
15,1733991940.668749,62.805,59.729,63.667,59.638
16,1733991940.6688285,62.805,59.729,63.667,59.638
17,1733991940.768862,62.805,59.729,63.337,59.638
18,1733991940.7689352,62.805,59.729,63.337,59.638
19,1733991940.8689668,62.741,59.454,63.337,59.638
20,1733991940.8690438,62.741,59.454,63.337,59.638
21,1733991940.9690707,62.741,59.729,63.337,59.638
22,1733991940.9691474,62.741,59.729,63.337,59.638
23,1733991941.069225,62.805,59.729,63.401,59.973
24,1733991941.0693207,62.805,59.729,63.401,59.973
25,1733991941.1693408,62.805,59.729,63.401,59.699
26,1733991941.1694102,62.805,59.729,63.401,59.699
27,1733991941.2697659,62.805,59.79,63.401,59.699
28,1733991941.2700238,62.805,59.79,63.401,59.699
29,1733991941.3711116,62.805,59.79,63.401,59.699
30,1733991941.3726654,62.805,59.79,63.401,59.699
31,1733991941.4715,62.805,59.79,63.401,59.699
32,1733991941.4727526,62.805,59.79,63.401,59.699
33,1733991941.5716007,62.805,59.729,63.667,60.035000000000004
34,1733991941.5728235,62.805,59.729,63.667,60.035000000000004
35,1733991941.6716661,62.741,59.729,63.667,59.638
36,1733991941.6728866,62.741,59.729,63.667,59.638
37,1733991941.7717757,62.805,59.729,63.337,59.973
38,1733991941.7729182,62.805,59.729,63.337,59.973
39,1733991941.8718784,62.741,59.729,63.667,59.638
40,1733991941.8729925,62.741,59.729,63.667,59.638
41,1733991941.9721882,62.805,59.729,63.667,59.973
42,1733991941.9730642,62.805,59.729,63.667,59.973
43,1733991942.0723689,62.805,59.729,63.337,59.638
44,1733991942.0731306,62.805,59.729,63.337,59.638
45,1733991942.172444,63.014,59.729,63.337,59.973
46,1733991942.1731975,63.014,59.729,63.337,59.973
47,1733991942.2725165,62.741,59.454,63.667,59.638
48,1733991942.2737753,62.741,59.454,63.667,59.638
49,1733991942.3725886,62.805,59.729,63.667,59.638
50,1733991942.3742263,62.805,59.729,63.667,59.638
51,1733991942.4726613,63.014,59.729,63.667,59.973
52,1733991942.4743,63.014,59.729,63.667,59.973
53,1733991942.5727353,63.079,59.729,63.667,59.973
54,1733991942.5743647,63.079,59.729,63.667,59.973
55,1733991942.6728625,62.805,59.729,63.337,59.638
56,1733991942.6744533,62.805,59.729,63.337,59.638
57,1733991942.7729816,63.014,59.729,63.667,59.973
58,1733991942.7745337,63.014,59.729,63.667,59.973
59,1733991942.873084,63.014,59.729,63.337,59.638
60,1733991942.874608,63.014,59.729,63.337,59.638
61,1733991942.973152,62.741,59.729,63.667,59.638
62,1733991942.9746726,62.741,59.729,63.667,59.638
63,1733991943.0732212,62.805,59.729,63.337,59.973
64,1733991943.0747511,62.805,59.729,63.337,59.973
65,1733991943.173288,62.805,59.729,63.337,59.638
66,1733991943.1747677,62.805,59.729,63.337,59.638
67,1733991943.273355,62.741,59.729,63.337,59.638
68,1733991943.274832,62.741,59.729,63.337,59.638
69,1733991943.373381,62.741,59.729,63.667,59.973
70,1733991943.374896,62.741,59.729,63.667,59.973
71,1733991943.4734485,62.741,59.729,63.667,59.638
72,1733991943.474916,62.741,59.729,63.667,59.638
73,1733991943.5735168,62.805,59.729,63.337,59.638
74,1733991943.5749805,62.805,59.729,63.337,59.638
75,1733991943.6735399,62.741,59.729,63.337,59.973
76,1733991943.6750484,62.741,59.729,63.337,59.973
77,1733991943.7736063,63.014,59.729,63.667,59.973
78,1733991943.7750707,63.014,59.729,63.667,59.973
79,1733991943.8736742,62.741,59.729,63.667,59.638
80,1733991943.8751354,62.741,59.729,63.667,59.638
81,1733991943.9737406,63.014,59.729,63.667,59.973
82,1733991943.9752011,63.014,59.729,63.667,59.973
83,1733991944.0738077,62.741,59.729,63.667,59.973
84,1733991944.0752656,62.741,59.729,63.667,59.973
85,1733991944.1738443,62.741,59.729,63.667,59.973
86,1733991944.1753309,62.741,59.729,63.667,59.973
87,1733991944.2739177,62.741,59.729,63.667,59.973
88,1733991944.2753954,62.741,59.729,63.667,59.973
89,1733991944.3739853,62.741,59.729,63.667,59.973
90,1733991944.3754585,62.741,59.729,63.667,59.973
91,1733991944.4740527,63.014,59.729,63.667,59.973
92,1733991944.4755251,63.014,59.729,63.667,59.973
93,1733991944.574121,62.741,59.729,63.667,59.973
94,1733991944.57559,62.741,59.729,63.667,59.973
95,1733991944.6742551,63.079,59.729,63.667,59.638
96,1733991944.6756675,63.079,59.729,63.667,59.638
97,1733991944.7743776,63.079,59.729,63.337,59.973
98,1733991944.7757387,63.079,59.729,63.337,59.973
99,1733991944.874444,63.079,59.729,63.337,59.638
100,1733991944.87577,63.079,59.729,63.337,59.638
101,1733991944.9745114,62.805,59.729,63.337,59.973
102,1733991944.9758346,62.805,59.729,63.337,59.973
103,1733991945.0745358,63.079,59.729,63.667,60.035000000000004
104,1733991945.0758994,63.079,59.729,63.667,60.035000000000004
105,1733991945.1746025,62.741,59.729,63.337,59.973
106,1733991945.1759157,62.741,59.729,63.337,59.973
107,1733991945.27467,63.014,59.729,63.667,59.638
108,1733991945.2759829,63.014,59.729,63.667,59.638
109,1733991945.3746903,62.741,59.729,63.667,59.638
110,1733991945.3760545,62.741,59.729,63.667,59.638
111,1733991945.4747574,62.741,59.729,63.667,59.638
112,1733991945.4760704,62.741,59.729,63.667,59.638
113,1733991945.5748253,62.741,59.729,63.667,59.638
114,1733991945.5761347,62.741,59.729,63.667,59.638
115,1733991945.6748433,62.741,59.729,63.667,59.973
116,1733991945.6762002,62.741,59.729,63.667,59.973
117,1733991945.7749133,63.014,59.729,63.667,59.973
118,1733991945.776226,63.014,59.729,63.667,59.973
119,1733991945.8749814,63.014,59.729,63.337,59.973
120,1733991945.8762906,63.014,59.729,63.337,59.973
121,1733991945.9749985,63.014,59.729,63.667,59.973
122,1733991945.9763558,63.014,59.729,63.667,59.973
123,1733991946.0750651,63.014,59.729,63.667,59.973
124,1733991946.0763803,63.014,59.729,63.667,59.973
125,1733991946.175133,62.741,59.729,63.667,59.973
126,1733991946.1764455,62.741,59.729,63.667,59.973
127,1733991946.2751553,63.014,59.729,63.667,59.973
128,1733991946.2765143,63.014,59.729,63.667,59.973
129,1733991946.3752244,63.014,59.729,63.667,59.638
130,1733991946.3765328,63.014,59.729,63.667,59.638
