Column,Peak Index,Left,Right,Mean,Width,Choice,PTM
N_10024,38,28,43,1711.5,15,False,False
N_10024,82,54,90,1642.3243243243244,36,False,False
N_10024,116,107,121,1241.6,14,False,False
N_10024,235,224,242,1505.6315789473683,17,False,False
N_10024,265,259,285,1544.5925925925926,26,False,False
N_11507,34,26,39,1373.7857142857142,13,False,False
N_11507,106,93,111,1473.8947368421052,18,False,False
N_11507,172,158,173,1272.1875,14,False,False
N_12292,38,31,44,1229.2142857142858,12,False,False
N_12292,104,97,110,1417.0714285714287,13,False,False
N_12292,329,321,336,1317.3125,14,False,False
N_12292,395,386,404,1284.3684210526317,17,False,False
N_12292,0,463,468,1514.0,6,False,True
N_16408,45,40,49,1300.2,8,False,False
N_16408,102,96,106,1217.1818181818182,10,False,False
N_16408,171,166,175,1201.6,9,False,False
N_16408,231,223,233,1265.1818181818182,10,False,False
N_16408,0,263,268,1718.5555,6,False,True
N_16408,1,258,263,1406.6425,6,False,True
N_17802,25,14,30,1471.2941176470588,15,False,False
N_17802,51,44,53,1300.3,9,False,False
N_17802,102,97,109,1317.8461538461538,12,False,False
N_17802,154,147,156,1238.8,9,False,False
N_17802,224,214,232,1341.2105263157894,17,False,False
N_17802,287,283,293,1221.5454545454545,9,False,False
N_17802,320,311,322,1429.1666666666667,11,False,False
N_17802,401,391,402,1214.0833333333333,10,False,False
N_21997,45,40,49,1226.5,8,False,False
N_21997,66,60,68,1272.5555555555557,8,False,False
N_21997,81,75,86,1487.75,11,False,False
N_21997,107,97,110,1566.5,13,False,False
N_21997,165,157,166,1224.9,8,False,False
N_21997,185,175,191,1242.8235294117646,15,False,False
N_21997,205,202,212,1278.7272727272727,10,False,False
N_21997,0,276,284,2153.8575,9,False,True
N_21997,1,274,283,2084.5125,10,False,True
N_22190,53,45,57,1317.5384615384614,12,False,False
N_22190,0,215,219,1410.4315,5,False,True
N_22966,69,64,72,1303.111111111111,8,False,False
N_22966,0,92,96,1438.9924999999998,5,False,True
N_22966,1,89,94,1363.3605,6,False,True
N_22966,2,89,93,1353.9065,5,False,True
N_29550,0,46,51,1258.3455,6,False,True
N_29550,1,47,51,1232.9005,5,False,True
N_29550,2,103,108,1512.7955000000002,6,False,True
N_29550,3,118,124,2057.3185000000003,7,False,True
N_29550,4,104,108,1553.5075000000002,5,False,True
N_29550,5,101,105,1436.4605000000001,5,False,True
N_394,0,85,89,1293.095,5,False,True
N_394,1,102,114,2455.9489999999996,13,False,True
N_394,2,83,91,1338.401,9,False,True
N_394,3,82,86,1283.027,5,False,True
N_4772,118,117,125,1263.111111111111,8,False,False
N_4772,185,168,187,1244.95,18,False,False
N_4772,207,204,213,1327.4,9,False,False
N_4772,302,295,308,1457.4285714285713,13,False,False
N_4772,329,322,331,1407.1,9,False,False
N_6045,70,66,74,1244.7777777777778,8,False,False
N_6045,109,103,113,1386.5454545454545,9,False,False
N_6045,151,149,162,1361.2142857142858,12,False,False
N_6045,0,208,215,2305.5445,8,False,True
N_6045,1,203,208,1949.5194999999999,6,False,True
N_6045,2,190,198,1517.5425,9,False,True
N_6045,3,185,190,1413.1084999999998,6,False,True
N_9367,0,73,77,1340.1060000000002,5,False,True
N_9367,1,90,94,1310.6100000000001,5,False,True
N_9367,2,72,76,1261.4499999999998,5,False,True
N_9367,3,116,122,2775.578,7,False,True
N_9631,80,73,83,1274.5454545454545,10,False,False
N_9631,123,95,125,1278.225806451613,29,False,False
N_9631,169,157,177,1425.142857142857,20,False,False
N_9631,193,186,197,1330.0833333333333,11,False,False
