,timestamps,pynvml:0,pynvml:1,pynvml:2,pynvml:3
0,1733991940.011629,59.547000000000004,59.76,59.091,56.239000000000004
1,1733991940.1107235,59.547000000000004,59.76,59.091,56.239000000000004
2,1733991940.1117055,59.547000000000004,59.76,59.091,56.239000000000004
3,1733991940.2108054,59.547000000000004,59.821,59.091,56.513
4,1733991940.2117732,59.547000000000004,59.821,59.091,56.513
5,1733991940.310892,59.547000000000004,59.821,59.03,56.513
6,1733991940.3118007,59.547000000000004,59.821,59.03,56.513
7,1733991940.4109771,59.547000000000004,59.76,59.03,56.513
8,1733991940.4118688,59.547000000000004,59.76,59.03,56.513
9,1733991940.5110495,59.547000000000004,59.76,59.03,56.513
10,1733991940.511932,59.547000000000004,59.76,59.03,56.513
11,1733991940.6111188,59.547000000000004,59.76,59.03,56.239000000000004
12,1733991940.611995,59.547000000000004,59.76,59.03,56.239000000000004
13,1733991940.7112389,59.547000000000004,59.821,59.091,56.513
14,1733991940.7120726,59.547000000000004,59.821,59.091,56.513
15,1733991940.8113687,59.547000000000004,59.821,59.091,56.239000000000004
16,1733991940.8121533,59.547000000000004,59.821,59.091,56.239000000000004
17,1733991940.9114892,59.547000000000004,59.821,59.091,56.571
18,1733991940.9122362,59.547000000000004,59.821,59.091,56.571
19,1733991941.0116105,59.547000000000004,59.76,59.03,56.239000000000004
20,1733991941.0123034,59.547000000000004,59.76,59.03,56.239000000000004
21,1733991941.1117299,59.547000000000004,59.76,59.03,56.513
22,1733991941.1123703,59.547000000000004,59.76,59.03,56.513
23,1733991941.211849,59.547000000000004,59.76,59.03,56.239000000000004
24,1733991941.2124436,59.547000000000004,59.76,59.03,56.239000000000004
25,1733991941.3119686,59.547000000000004,59.76,59.03,56.513
26,1733991941.3125205,59.547000000000004,59.76,59.03,56.513
27,1733991941.4131234,59.547000000000004,59.821,59.091,56.296
28,1733991941.4132197,59.547000000000004,59.821,59.091,56.296
29,1733991941.5132537,59.547000000000004,59.821,59.03,56.513
30,1733991941.5133264,59.547000000000004,59.821,59.03,56.513
31,1733991941.6133726,59.547000000000004,59.821,59.03,56.513
32,1733991941.6134691,59.547000000000004,59.821,59.03,56.513
33,1733991941.7140548,59.547000000000004,59.821,59.03,56.513
34,1733991941.7144911,59.547000000000004,59.821,59.03,56.513
35,1733991941.8148355,59.547000000000004,59.76,59.091,56.571
36,1733991941.815241,59.547000000000004,59.76,59.091,56.571
37,1733991941.9150631,59.608000000000004,59.821,59.091,56.296
38,1733991941.915311,59.608000000000004,59.821,59.091,56.296
39,1733991942.0151381,59.608000000000004,59.821,59.091,56.296
40,1733991942.0153806,59.608000000000004,59.821,59.091,56.296
41,1733991942.1152148,59.608000000000004,59.821,59.091,56.296
42,1733991942.1154442,59.608000000000004,59.821,59.091,56.296
43,1733991942.2153244,59.608000000000004,59.821,59.091,56.296
44,1733991942.2155113,59.608000000000004,59.821,59.091,56.296
45,1733991942.3155982,59.608000000000004,59.882,59.091,56.296
46,1733991942.315666,59.608000000000004,59.882,59.091,56.296
47,1733991942.4156716,59.608000000000004,59.882,59.151,56.296
48,1733991942.4157343,59.608000000000004,59.882,59.151,56.296
49,1733991942.5157435,59.608000000000004,59.821,59.091,56.296
50,1733991942.515791,59.608000000000004,59.821,59.091,56.296
51,1733991942.6167364,59.608000000000004,59.821,59.091,56.296
52,1733991942.6169574,59.608000000000004,59.821,59.091,56.296
53,1733991942.7168045,59.608000000000004,59.882,59.151,56.296
54,1733991942.7170255,59.608000000000004,59.882,59.151,56.296
55,1733991942.8169343,59.608000000000004,59.821,59.091,56.296
56,1733991942.8170984,59.608000000000004,59.821,59.091,56.296
57,1733991942.9170537,59.608000000000004,59.821,59.091,56.296
58,1733991942.9171696,59.608000000000004,59.821,59.091,56.296
59,1733991943.0171082,59.608000000000004,59.821,59.091,56.296
60,1733991943.0172403,59.608000000000004,59.821,59.091,56.296
61,1733991943.1171768,59.608000000000004,59.821,59.091,56.296
62,1733991943.1172543,59.608000000000004,59.821,59.091,56.296
63,1733991943.2172468,59.608000000000004,59.882,59.151,56.296
64,1733991943.217331,59.608000000000004,59.882,59.151,56.296
65,1733991943.3173144,59.608000000000004,59.821,59.151,56.296
66,1733991943.3173938,59.608000000000004,59.821,59.151,56.296
67,1733991943.4173822,59.608000000000004,59.821,59.091,56.296
68,1733991943.417458,59.608000000000004,59.821,59.091,56.296
69,1733991943.5174127,59.608000000000004,59.821,59.091,56.296
70,1733991943.5175219,59.608000000000004,59.821,59.091,56.296
71,1733991943.6174793,59.608000000000004,59.821,59.091,56.296
72,1733991943.6175606,59.608000000000004,59.821,59.091,56.296
73,1733991943.7175484,59.608000000000004,59.821,59.151,56.296
74,1733991943.7176251,59.608000000000004,59.821,59.151,56.296
75,1733991943.8175669,59.608000000000004,59.882,59.151,56.296
76,1733991943.8176916,59.608000000000004,59.882,59.151,56.296
77,1733991943.9176342,59.608000000000004,59.821,59.091,56.296
78,1733991943.9177144,59.608000000000004,59.821,59.091,56.296
79,1733991944.017703,59.608000000000004,59.821,59.091,56.296
80,1733991944.0177855,59.608000000000004,59.821,59.091,56.296
81,1733991944.117771,59.608000000000004,59.821,59.151,56.296
82,1733991944.1178486,59.608000000000004,59.821,59.151,56.296
83,1733991944.2177956,59.668,59.821,59.151,56.296
84,1733991944.2178683,59.668,59.821,59.151,56.296
85,1733991944.317864,59.668,59.821,59.091,56.296
86,1733991944.3179326,59.668,59.821,59.091,56.296
87,1733991944.417931,59.608000000000004,59.821,59.091,56.296
88,1733991944.4179957,59.608000000000004,59.821,59.091,56.296
89,1733991944.5179992,59.608000000000004,59.821,59.091,56.296
90,1733991944.5180645,59.608000000000004,59.821,59.091,56.296
91,1733991944.6180844,59.608000000000004,59.821,59.151,56.296
92,1733991944.6181543,59.608000000000004,59.821,59.151,56.296
93,1733991944.7181613,59.608000000000004,59.821,59.091,56.296
94,1733991944.718232,59.608000000000004,59.821,59.091,56.296
95,1733991944.8181844,59.608000000000004,59.821,59.091,56.296
96,1733991944.8182971,59.608000000000004,59.821,59.091,56.296
97,1733991944.9182513,59.608000000000004,59.821,59.091,56.296
98,1733991944.9183316,59.608000000000004,59.821,59.091,56.296
99,1733991945.018321,59.608000000000004,59.821,59.151,56.296
100,1733991945.0183964,59.608000000000004,59.821,59.151,56.296
101,1733991945.1183875,59.608000000000004,59.821,59.151,56.296
102,1733991945.1184597,59.608000000000004,59.821,59.151,56.296
103,1733991945.2184546,59.608000000000004,59.882,59.151,56.296
104,1733991945.2185242,59.608000000000004,59.882,59.151,56.296
105,1733991945.3184896,59.608000000000004,59.882,59.151,56.354
106,1733991945.3185885,59.608000000000004,59.882,59.151,56.354
107,1733991945.418556,59.608000000000004,59.882,59.151,56.354
108,1733991945.4186409,59.608000000000004,59.882,59.151,56.354
109,1733991945.5186245,59.608000000000004,59.821,59.151,56.354
110,1733991945.5187109,59.608000000000004,59.821,59.151,56.354
111,1733991945.6186445,59.608000000000004,59.821,59.151,56.296
112,1733991945.6187754,59.608000000000004,59.821,59.151,56.296
113,1733991945.7187114,59.608000000000004,59.882,59.151,56.296
114,1733991945.718791,59.608000000000004,59.882,59.151,56.296
115,1733991945.8187847,59.608000000000004,59.821,59.091,56.354
116,1733991945.8188555,59.608000000000004,59.821,59.091,56.354
117,1733991945.9188519,59.608000000000004,59.821,59.091,56.296
118,1733991945.9189184,59.608000000000004,59.821,59.091,56.296
119,1733991946.0189192,59.608000000000004,59.821,59.091,56.296
120,1733991946.0189836,59.608000000000004,59.821,59.091,56.296
121,1733991946.1189501,59.608000000000004,59.821,59.151,56.571
122,1733991946.1190476,59.608000000000004,59.821,59.151,56.571
123,1733991946.219017,59.608000000000004,59.882,59.151,56.296
124,1733991946.2190983,59.608000000000004,59.882,59.151,56.296
125,1733991946.319084,59.608000000000004,59.821,59.151,56.296
126,1733991946.319163,59.608000000000004,59.821,59.151,56.296
127,1733991946.4191048,59.608000000000004,59.882,59.151,56.296
128,1733991946.419229,59.608000000000004,59.882,59.151,56.296
129,1733991946.5191722,59.608000000000004,59.821,59.151,56.296
130,1733991946.5192525,59.608000000000004,59.821,59.151,56.296
131,1733991946.6192386,59.608000000000004,59.821,59.091,56.296
132,1733991946.6193166,59.608000000000004,59.821,59.091,56.296
133,1733991946.719259,59.608000000000004,59.76,59.03,56.296
134,1733991946.7193828,59.608000000000004,59.76,59.03,56.296
135,1733991946.8193252,59.547000000000004,59.76,59.091,56.513
136,1733991946.8194065,59.547000000000004,59.76,59.091,56.513
137,1733991946.9193923,59.547000000000004,59.76,59.03,56.513
138,1733991946.9194708,59.547000000000004,59.76,59.03,56.513
139,1733991947.019462,59.547000000000004,59.76,59.03,56.513
140,1733991947.0195336,59.547000000000004,59.76,59.03,56.513
141,1733991947.1195307,59.547000000000004,59.76,59.03,56.513
142,1733991947.119598,59.547000000000004,59.76,59.03,56.513
143,1733991947.2195666,59.486000000000004,59.76,59.03,56.513
144,1733991947.2196624,59.486000000000004,59.76,59.03,56.513
145,1733991947.319633,59.547000000000004,59.76,59.03,56.513
146,1733991947.3197145,59.547000000000004,59.76,59.03,56.513
147,1733991947.4196997,59.608000000000004,59.882,59.151,56.513
148,1733991947.4197865,59.608000000000004,59.882,59.151,56.513
149,1733991947.5197184,59.608000000000004,59.882,59.151,56.296
150,1733991947.519851,59.608000000000004,59.882,59.151,56.296
151,1733991947.619791,59.608000000000004,59.821,59.091,56.354
152,1733991947.6198685,59.608000000000004,59.821,59.091,56.354
153,1733991947.7198584,59.608000000000004,59.821,59.091,56.296
154,1733991947.7199326,59.608000000000004,59.821,59.091,56.296
155,1733991947.8199255,59.608000000000004,59.76,59.03,56.296
156,1733991947.8199952,59.608000000000004,59.76,59.03,56.296
157,1733991947.9199927,59.486000000000004,59.76,59.03,56.513
158,1733991947.9200597,59.486000000000004,59.76,59.03,56.513
159,1733991948.0200276,59.486000000000004,59.76,59.03,56.513
160,1733991948.0201237,59.486000000000004,59.76,59.03,56.513
161,1733991948.1200933,59.486000000000004,59.76,59.303000000000004,56.513
