COMMAND,USER,IP_TYPE,NODE
dhclient,root,IPv4,UDP
avahi-dae,avahi,IPv4,UDP
avahi-dae,avahi,IPv6,UDP
NetworkMa,root,IPv4,UDP
NetworkMa,root,IPv6,UDP
sshd,root,IPv4,TCP
sshd,root,IPv6,TCP
sshd,sshd,IPv4,TCP
geoclue,geoclue,IPv4,TCP
geoclue,geoclue,IPv4,TCP
chronyd,chrony,IPv4,UDP
chronyd,chrony,IPv6,UDP
cupsd,root,IPv4,TCP
cupsd,root,IPv6,TCP
systemd-r,systemd-resolve,IPv4,UDP
systemd-r,systemd-resolve,IPv4,TCP
