id	name	local_name	lang	country	city_label	city_geonames	latitude	longitude	wikidata	osm_way	address	creator	date	homepage
0000001	Cultural Center Altinate/San Gaetano	Centro Culturale Altinate/San Gaetano	it	IT	Padova	3171728	45.4086547	11.882047814121277	Q3664800	131987899	Via Altinate, 71, 35121 Padua PD, Italy	0000-0003-4423-4370	2024-10-24	https://www.altinatesangaetano.it/en
0000002	Stowers Institute			US	Kansas City	4393217	39.0371088	-94.57549857555122	Q7620704	356666501	East 50th Street 1000, Kansas City, Missouri, USA	0000-0003-4423-4370	2024-10-24	https://www.stowers.org/
