,timestamps,pynvml:0,pynvml:1,pynvml:2,pynvml:3
0,1733992190.0126026,56.066,56.239000000000004,62.356,57.666000000000004
1,1733992190.1111112,56.066,56.513,62.42,57.666000000000004
2,1733992190.1126819,56.066,56.513,62.42,57.666000000000004
3,1733992190.211191,56.009,56.513,62.356,57.607
4,1733992190.2127545,56.009,56.513,62.356,57.607
5,1733992190.311275,56.066,56.513,62.628,57.881
6,1733992190.3128247,56.066,56.513,62.628,57.881
7,1733992190.4113839,56.009,56.455,62.628,57.881
8,1733992190.412897,56.009,56.455,62.628,57.881
9,1733992190.5114515,56.009,56.455,62.628,57.881
10,1733992190.5129607,56.009,56.455,62.628,57.881
11,1733992190.6115627,56.009,56.455,62.628,57.607
12,1733992190.6130538,56.009,56.455,62.628,57.607
13,1733992190.7116675,56.009,56.455,62.628,57.881
14,1733992190.713144,56.009,56.455,62.628,57.881
15,1733992190.8118124,56.009,56.513,62.356,57.881
16,1733992190.8132284,56.009,56.513,62.356,57.881
17,1733992190.9119298,56.009,56.513,62.628,57.881
18,1733992190.913306,56.009,56.513,62.628,57.881
19,1733992191.0120387,56.009,56.455,62.628,57.881
20,1733992191.0133815,56.009,56.455,62.628,57.607
21,1733992191.120225,56.066,56.239000000000004,62.628,57.881
22,1733992191.1203032,56.066,56.239000000000004,62.628,57.881
23,1733992191.2203226,56.009,56.513,62.356,57.607
24,1733992191.2204063,56.009,56.513,62.356,57.607
25,1733992191.3204167,56.009,56.239000000000004,62.356,57.881
26,1733992191.3204925,56.009,56.239000000000004,62.356,57.881
27,1733992191.4204805,56.066,56.513,62.356,57.607
28,1733992191.42051,56.066,56.513,62.356,57.607
29,1733992191.5205548,56.009,56.513,62.628,57.607
30,1733992191.5206196,56.009,56.513,62.628,57.607
31,1733992191.6206703,56.009,56.513,62.628,57.666000000000004
32,1733992191.6207695,56.009,56.513,62.628,57.666000000000004
33,1733992191.7207835,56.066,56.513,62.42,57.94
34,1733992191.720868,56.066,56.513,62.42,57.94
35,1733992191.8208857,56.009,56.513,62.356,57.607
36,1733992191.820963,56.009,56.513,62.356,57.607
37,1733992191.9209874,56.009,56.455,62.356,57.881
38,1733992191.9210641,56.009,56.455,62.356,57.881
39,1733992192.0210898,56.009,56.513,62.628,57.881
40,1733992192.021178,56.009,56.513,62.628,57.881
41,1733992192.1212437,56.009,56.455,62.356,57.607
42,1733992192.121314,56.009,56.455,62.356,57.607
43,1733992192.2213187,56.009,60.644,62.356,57.607
44,1733992192.2213824,56.009,60.644,62.356,57.607
45,1733992192.3213925,56.009,60.644,62.628,57.607
46,1733992192.321456,56.009,60.644,62.628,57.607
47,1733992192.421465,56.009,60.972,62.628,57.607
48,1733992192.421509,56.009,60.972,62.628,57.607
49,1733992192.52238,56.009,60.644,62.628,57.881
50,1733992192.5225923,56.009,60.644,62.628,57.881
51,1733992192.6224515,56.009,60.582,62.356,57.881
52,1733992192.6226645,56.009,60.582,62.356,57.881
53,1733992192.7225184,56.009,60.644,62.356,57.881
54,1733992192.722728,56.009,60.644,62.356,57.881
55,1733992192.822638,56.009,60.582,62.628,57.607
56,1733992192.8228004,56.009,60.582,62.628,57.607
57,1733992192.9227655,56.339,60.644,62.356,57.607
58,1733992192.9228752,56.339,60.644,62.356,57.607
59,1733992193.0228436,56.339,60.644,62.692,57.666000000000004
60,1733992193.0229006,56.339,60.644,62.692,57.666000000000004
61,1733992193.1229036,56.066,60.644,62.692,57.607
62,1733992193.1229692,56.066,60.644,62.692,57.607
63,1733992193.222975,56.066,60.644,62.356,57.607
64,1733992193.2230551,56.066,60.644,62.356,57.607
65,1733992193.323043,56.009,60.644,62.628,57.607
66,1733992193.3231196,56.009,60.644,62.628,57.607
67,1733992193.4231095,56.009,60.644,62.356,57.607
68,1733992193.4231825,56.009,60.644,62.356,57.607
