Column,Peak Index,Left,Right,Mean,Width,Choice,PTM
N_12468,59,46,64,1085.2631578947369,18,False,False
N_12468,173,167,180,1073.5714285714287,12,False,False
N_12468,0,259,264,1367.692,6,False,True
N_12468,1,253,263,1283.404,11,False,True
N_12468,2,251,256,1153.46,6,False,True
N_12468,3,251,255,1118.3400000000001,5,False,True
N_13707,92,86,101,938.3125,15,False,False
N_13707,128,117,130,946.5714285714286,13,False,False
N_13707,176,168,179,1034.6666666666667,11,False,False
N_13707,213,200,214,910.0666666666667,14,False,False
N_13707,239,229,242,932.0,13,False,False
N_1629,74,68,80,1066.3846153846155,11,False,False
N_1629,132,122,142,1004.3809523809524,20,False,False
N_1629,0,181,192,1581.9995,12,False,True
N_186,141,132,144,919.6923076923077,12,False,False
N_186,196,193,207,1106.0,14,False,False
N_186,246,239,249,954.0,10,False,False
N_186,266,257,267,1001.0909090909091,10,False,False
N_186,0,278,282,1120.5439999999999,5,False,True
N_186,1,287,293,1704.7359999999999,7,False,True
N_18608,30,23,32,900.3,8,False,False
N_18608,127,103,134,1022.4375,31,False,False
N_18608,203,188,208,978.1904761904761,20,False,False
N_18608,0,228,236,1192.7199999999998,9,False,True
N_21972,62,55,63,1011.6666666666666,8,False,False
N_21972,90,84,94,1000.4545454545455,10,False,False
N_21972,0,103,107,1050.5375,5,False,True
N_21972,1,103,107,1029.0875,5,False,True
N_21972,2,106,116,1286.4875000000002,11,False,True
N_22944,33,25,45,1060.7619047619048,19,False,False
N_22944,87,81,90,918.8,9,False,False
N_22944,154,146,159,1014.7857142857143,13,False,False
N_22944,182,178,190,938.3076923076923,11,False,False
N_22944,202,195,206,973.0833333333334,10,False,False
N_22944,0,259,273,1505.0825,15,False,True
N_27830,57,45,61,1083.1764705882354,16,False,False
N_29876,90,86,98,1081.0,11,False,False
N_4683,69,62,75,1046.7857142857142,13,False,False
N_4683,146,127,154,1290.5,26,False,False
N_4683,185,172,187,911.0625,15,False,False
N_6381,58,47,65,917.0526315789474,17,False,False
N_6381,0,81,85,932.7715000000001,5,False,True
N_6381,1,113,117,965.6125,5,False,True
N_6381,2,59,64,947.3675000000001,6,False,True
